Local time,Open,High,Low,Close
2022-01-03 14:00:00,145.95,148.48,145.86,147.89
2022-01-03 15:00:00,147.9,151.61,147.9,151.12
2022-01-03 16:00:00,151.11,151.46,149.44,149.71
2022-01-03 17:00:00,149.71,150.12,149.09,150.05
2022-01-03 18:00:00,150.06,150.48,149.49,149.8
2022-01-03 19:00:00,149.78,151.01,149.3,150.71
2022-01-03 20:00:00,150.71,150.95,149.66,150.23
2022-01-04 14:00:00,151.05,152.38,148.69,149.18
2022-01-04 15:00:00,149.18,149.4,143.09,143.1
2022-01-04 16:00:00,143.1,143.38,140.99,142.13
2022-01-04 17:00:00,142.13,143.12,141.24,141.42
2022-01-04 18:00:00,141.41,142.25,140.69,140.88
2022-01-04 19:00:00,140.89,142.6,140.85,142.05
2022-01-04 20:00:00,142.04,144.71,142.03,144.42
2022-01-05 14:00:00,142.51,143.72,140.69,142.96
2022-01-05 15:00:00,142.98,143.71,139.98,140.98
2022-01-05 16:00:00,140.98,141.22,139.42,140.31
2022-01-05 17:00:00,140.31,140.61,138.61,138.74
2022-01-05 18:00:00,138.74,139.63,138.27,139.34
2022-01-05 19:00:00,139.33,140.14,136.84,136.85
2022-01-05 20:00:00,136.86,137.31,135.28,136.1
2022-01-06 14:00:00,136.88,137.73,134.44,134.99
2022-01-06 15:00:00,135.0,136.91,131.73,136.43
2022-01-06 16:00:00,136.43,137.17,134.82,136.04
2022-01-06 17:00:00,136.08,136.31,134.79,134.97
2022-01-06 18:00:00,134.96,135.55,134.07,135.4
2022-01-06 19:00:00,135.35,136.36,134.78,136.22
2022-01-06 20:00:00,136.23,136.89,135.31,136.29
2022-01-07 14:00:00,136.1,137.38,134.62,136.17
2022-01-07 15:00:00,136.18,136.26,131.11,132.3
2022-01-07 16:00:00,132.29,133.93,131.99,133.43
2022-01-07 17:00:00,133.44,134.32,132.59,133.18
2022-01-07 18:00:00,133.17,133.33,132.29,132.42
2022-01-07 19:00:00,132.43,133.24,131.79,132.95
2022-01-07 20:00:00,132.95,133.29,131.89,131.98
2022-01-10 14:00:00,127.99,129.23,126.18,127.87
2022-01-10 15:00:00,127.81,129.44,125.87,126.77
2022-01-10 16:00:00,126.77,128.17,125.61,127.51
2022-01-10 17:00:00,127.47,127.57,125.01,126.35
2022-01-10 18:00:00,126.34,129.07,125.88,128.73
2022-01-10 19:00:00,128.73,131.76,128.71,130.34
2022-01-10 20:00:00,130.34,132.39,129.4,132.22
2022-01-11 14:00:00,132.84,134.15,131.56,133.08
2022-01-11 15:00:00,133.16,136.06,132.71,134.12
2022-01-11 16:00:00,134.11,138.9,134.11,138.84
2022-01-11 17:00:00,138.85,138.96,137.18,137.51
2022-01-11 18:00:00,137.51,138.12,137.1,137.71
2022-01-11 19:00:00,137.71,137.8,136.64,137.28
2022-01-11 20:00:00,137.28,138.3,136.43,137.17
2022-01-12 14:00:00,139.22,140.51,137.99,139.43
2022-01-12 15:00:00,139.41,140.29,136.56,136.95
2022-01-12 16:00:00,136.95,137.83,135.76,137.71
2022-01-12 17:00:00,137.7,138.6,136.85,138.33
2022-01-12 18:00:00,138.34,138.37,137.33,137.65
2022-01-12 19:00:00,137.64,137.98,136.21,137.55
2022-01-12 20:00:00,137.54,137.66,136.8,137.4
2022-01-13 14:00:00,140.14,141.2,139.05,139.47
2022-01-13 15:00:00,139.47,139.69,135.51,136.13
2022-01-13 16:00:00,136.13,136.64,134.61,136.06
2022-01-13 17:00:00,136.02,136.02,132.56,133.94
2022-01-13 18:00:00,133.92,134.66,133.53,134.49
2022-01-13 19:00:00,134.49,134.91,133.49,134.65
2022-01-13 20:00:00,134.65,134.69,131.8,132.57
2022-01-14 14:00:00,131.97,135.83,131.8,135.44
2022-01-14 15:00:00,135.48,136.06,133.14,134.76
2022-01-14 16:00:00,134.8,136.94,134.04,136.38
2022-01-14 17:00:00,136.39,136.39,134.4,134.46
2022-01-14 18:00:00,134.47,135.21,133.57,135.06
2022-01-14 19:00:00,135.05,135.39,134.52,134.83
2022-01-14 20:00:00,134.83,136.98,134.83,136.92
2022-01-18 14:00:00,134.55,135.22,133.32,134.5
2022-01-18 15:00:00,134.49,136.35,133.67,134.23
2022-01-18 16:00:00,134.23,135.38,132.94,135.15
2022-01-18 17:00:00,135.16,135.32,133.29,133.45
2022-01-18 18:00:00,133.46,133.56,132.51,133.21
2022-01-18 19:00:00,133.21,133.88,132.21,133.45
2022-01-18 20:00:00,133.44,133.61,131.58,131.86
2022-01-19 14:00:00,134.0,134.28,132.22,134.07
2022-01-19 15:00:00,134.08,134.51,129.65,130.52
2022-01-19 16:00:00,130.52,131.08,128.01,128.93
