Local time,Open,High,Low,Close
2019-01-02,113807.85,117023.63,108166.0,109733.69
2019-01-03,109746.3,112733.7,105423.79,111647.52
2019-01-04,111629.89,116846.14,109230.43,116716.73
2019-01-05,116707.64,117170.4,111313.53,114503.44
2019-01-06,114524.41,117009.24,112244.09,116421.15
2019-01-07,116414.4,117440.0,113321.12,113765.44
2019-01-08,113742.21,115148.84,109666.11,110299.0
2019-01-09,110284.1,115721.18,107110.17,114098.54
2019-01-10,114097.37,120367.65,113296.62,116648.39
2019-01-11,116666.19,123930.96,113482.93,123060.14
2019-01-12,123061.34,130192.8,121507.63,128213.66
2019-01-13,128217.65,128217.83,122169.2,125976.85
2019-01-14,125992.04,130005.4,123591.85,124223.01
2019-01-15,124226.83,125804.14,119020.24,120293.9
2019-01-16,120282.11,122291.76,110940.97,110940.97
2019-01-17,110954.99,114817.5,110194.54,111579.19
2019-01-18,111566.18,111682.7,106235.97,106515.56
2019-01-19,106468.87,110787.11,106130.53,109850.4
2019-01-20,109880.29,113447.81,108223.54,112293.17
2019-01-21,112289.85,122333.71,111816.4,121241.04
2019-01-22,121237.54,122066.99,115486.63,118840.09
2019-01-23,118843.07,124086.4,118416.85,122473.07
2019-01-24,122488.29,127875.37,121158.37,125415.0
2019-01-25,125436.75,135311.55,124260.44,134062.2
2019-01-26,134063.71,136903.89,124551.27,125612.61
2019-01-27,125588.55,128061.95,117539.58,117594.12
2019-01-28,117607.7,118687.54,107964.4,108689.88
2019-01-29,108725.55,118336.31,108575.45,117398.9
2019-01-30,117433.78,119659.66,111802.95,117460.59
2019-01-31,117456.61,119676.42,115815.51,119172.29
2019-02-01,119192.92,121597.99,115205.73,115499.52
2019-02-02,115535.94,119289.74,114018.97,116650.61
2019-02-03,116650.59,121296.53,114291.94,120183.69
2019-02-04,120168.85,120707.76,114027.76,116454.42
2019-02-05,116419.54,117014.64,111358.89,111793.35
2019-02-06,111786.24,115295.46,109846.72,114925.43
2019-02-07,114909.68,118861.12,112135.21,116842.31
2019-02-08,116828.2,121936.91,115111.95,117044.81
2019-02-09,116999.66,118014.58,109142.07,116234.37
2019-02-10,116232.63,116792.74,108999.64,110189.37
2019-02-11,110204.35,111292.81,105322.01,109332.9
2019-02-12,109367.66,110697.83,103888.01,105126.99
2019-02-13,105122.81,108058.03,102671.01,104912.82
2019-02-14,104913.27,106179.45,99459.88,103461.69
2019-02-15,103463.09,105981.92,100259.11,100778.25
2019-02-16,100788.11,104299.68,100131.73,102696.64
